trial_id,param_id,sample_n_mean,sample_n_std,Unnamed: 0,embedding_type,feature_n,fam_duration,test_type,fam,test,violation_type,stim_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
3,0,30.999895833333333,38.54230807906298,158,resnet_pa,3,1,novel,animate_007_right.png,animate_008_right.png,identity,14,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,159,resnet_pa,3,1,novel,animate_008_right.png,animate_007_right.png,identity,15,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,160,resnet_pa,3,1,novel,animate_009_left.png,animate_010_left.png,identity,16,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,161,resnet_pa,3,1,novel,animate_010_left.png,animate_009_left.png,identity,17,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,162,resnet_pa,3,1,novel,animate_009_right.png,animate_010_right.png,identity,18,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,163,resnet_pa,3,1,novel,animate_010_right.png,animate_009_right.png,identity,19,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,164,resnet_pa,3,1,novel,animate_011_left.png,animate_012_left.png,identity,20,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,165,resnet_pa,3,1,novel,animate_012_left.png,animate_011_left.png,identity,21,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,166,resnet_pa,3,1,novel,animate_011_right.png,animate_012_right.png,identity,22,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,167,resnet_pa,3,1,novel,animate_012_right.png,animate_012_right.png,identity,23,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,216,resnet_pa,3,2,fam,animate_001_left.png,animate_001_left.png,background,24,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,217,resnet_pa,3,2,fam,animate_002_left.png,animate_002_left.png,background,25,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,218,resnet_pa,3,2,fam,animate_001_right.png,animate_001_right.png,background,26,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,219,resnet_pa,3,2,fam,animate_002_right.png,animate_002_right.png,background,27,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,220,resnet_pa,3,2,fam,animate_003_left.png,animate_003_left.png,background,28,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,221,resnet_pa,3,2,fam,animate_004_left.png,animate_004_left.png,background,29,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,222,resnet_pa,3,2,fam,animate_003_right.png,animate_003_right.png,background,30,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
