batch_id,index,sample+n,param_id,trial_id,stim_id
10,0,4,146,0,1235
11,0,1,146,0,1235
12,0,47,146,0,1235
13,0,59,146,0,1235
14,0,44,146,0,1235
15,0,29,146,0,1235
16,0,55,146,0,1235
17,0,42,146,0,1235
18,0,51,146,0,1235
19,0,105,146,0,1235
0,0,6,148,0,1235
1,0,20,148,0,1235
2,0,49,148,0,1235
3,0,28,148,0,1235
4,0,33,148,0,1235
5,0,45,148,0,1235
6,0,14,148,0,1235
7,0,66,148,0,1235
8,0,10,148,0,1235
9,0,37,148,0,1235
10,0,32,148,0,1235
11,0,63,148,0,1235
12,0,24,148,0,1235
13,0,23,148,0,1235
14,0,20,148,0,1235
15,0,65,148,0,1235
16,0,48,148,0,1235
17,0,78,148,0,1235
18,0,8,148,0,1235
19,0,39,148,0,1235
0,0,6,156,0,32
1,0,71,156,0,32
2,0,45,156,0,32
3,0,12,156,0,32
4,0,22,156,0,32
5,0,5,156,0,32
6,0,81,156,0,32
7,0,3,156,0,32
8,0,7,156,0,32
9,0,2,156,0,32
10,0,8,156,0,32
11,0,9,156,0,32
12,0,24,156,0,32
13,0,8,156,0,32
14,0,38,156,0,32
15,0,39,156,0,32
16,0,73,156,0,32
17,0,75,156,0,32
18,0,58,156,0,32
19,0,142,156,0,32
0,0,44,144,0,682
1,0,6,144,0,682
2,0,69,144,0,682
3,0,36,144,0,682
4,0,7,144,0,682
5,0,49,144,0,682
6,0,2,144,0,682
7,0,15,144,0,682
8,0,12,144,0,682
9,0,18,144,0,682
10,0,12,144,0,682
11,0,37,144,0,682
12,0,1,144,0,682
13,0,43,144,0,682
14,0,93,144,0,682
15,0,9,144,0,682
16,0,2,144,0,682
17,0,95,144,0,682
18,0,23,144,0,682
19,0,10,144,0,682
0,0,12,146,0,32
1,0,20,146,0,32
2,0,31,146,0,32
3,0,18,146,0,32
4,0,44,146,0,32
5,0,1,146,0,32
6,0,40,146,0,32
7,0,9,146,0,32
8,0,19,146,0,32
9,0,9,146,0,32
10,0,9,146,0,32
11,0,5,146,0,32
12,0,3,146,0,32
13,0,121,146,0,32
14,0,1,146,0,32
15,0,51,146,0,32
16,0,15,146,0,32
17,0,17,146,0,32
18,0,24,146,0,32
19,0,85,146,0,32
0,0,19,90,0,1982
1,0,34,90,0,1982
2,0,30,90,0,1982
3,0,1,90,0,1982
4,0,35,90,0,1982
5,0,2,90,0,1982
6,0,7,90,0,1982
7,0,4,90,0,1982
8,0,75,90,0,1982
9,0,58,90,0,1982
10,0,90,90,0,1982
11,0,22,90,0,1982
12,0,38,90,0,1982
13,0,33,90,0,1982
14,0,14,90,0,1982
15,0,12,90,0,1982
16,0,62,90,0,1982
17,0,27,90,0,1982
18,0,85,90,0,1982
19,0,71,90,0,1982
0,0,21,140,0,325
1,0,107,140,0,325
2,0,74,140,0,325
3,0,56,140,0,325
4,0,52,140,0,325
5,0,81,140,0,325
6,0,45,140,0,325
7,0,49,140,0,325
8,0,53,140,0,325
9,0,53,140,0,325
10,0,28,140,0,325
11,0,18,140,0,325
12,0,32,140,0,325
13,0,24,140,0,325
14,0,50,140,0,325
15,0,91,140,0,325
16,0,32,140,0,325
17,0,59,140,0,325
18,0,38,140,0,325
19,0,39,140,0,325
0,0,23,148,0,357
1,0,53,148,0,357
2,0,25,148,0,357
3,0,49,148,0,357
4,0,148,148,0,357
5,0,1,148,0,357
6,0,66,148,0,357
7,0,1,148,0,357
8,0,79,148,0,357
9,0,34,148,0,357
10,0,50,148,0,357
11,0,69,148,0,357
12,0,6,148,0,357
13,0,33,148,0,357
14,0,21,148,0,357
15,0,38,148,0,357
16,0,44,148,0,357
17,0,7,148,0,357
18,0,80,148,0,357
19,0,52,148,0,357
0,0,90,156,0,130
1,0,42,156,0,130
2,0,71,156,0,130
3,0,11,156,0,130
4,0,5,156,0,130
5,0,39,156,0,130
6,0,11,156,0,130
7,0,44,156,0,130
8,0,4,156,0,130
9,0,45,156,0,130
10,0,13,156,0,130
11,0,61,156,0,130
12,0,17,156,0,130
13,0,2,156,0,130
14,0,8,156,0,130
15,0,167,156,0,130
16,0,15,156,0,130
17,0,52,156,0,130
18,0,71,156,0,130
19,0,22,156,0,130
0,0,27,146,0,32
1,0,109,146,0,32
2,0,28,146,0,32
3,0,7,146,0,32
4,0,22,146,0,32
5,0,16,146,0,32
6,0,38,146,0,32
7,0,48,146,0,32
8,0,41,146,0,32
9,0,60,146,0,32
10,0,14,146,0,32
11,0,5,146,0,32
12,0,59,146,0,32
13,0,5,146,0,32
14,0,17,146,0,32
15,0,47,146,0,32
16,0,40,146,0,32
17,0,9,146,0,32
18,0,36,146,0,32
19,0,23,146,0,32
0,0,1,90,0,292
1,0,43,90,0,292
2,0,12,90,0,292
3,0,9,90,0,292
4,0,7,90,0,292
5,0,25,90,0,292
6,0,30,90,0,292
7,0,3,90,0,292
8,0,63,90,0,292
9,0,45,90,0,292
10,0,1,90,0,292
11,0,44,90,0,292
12,0,27,90,0,292
13,0,93,90,0,292
14,0,45,90,0,292
15,0,6,90,0,292
16,0,53,90,0,292
17,0,39,90,0,292
18,0,9,90,0,292
19,0,29,90,0,292
0,0,13,144,0,682
1,0,49,144,0,682
2,0,41,144,0,682
3,0,115,144,0,682
4,0,1,144,0,682
5,0,59,144,0,682
6,0,43,144,0,682
7,0,45,144,0,682
8,0,3,144,0,682
9,0,111,144,0,682
10,0,37,144,0,682
11,0,11,144,0,682
12,0,45,144,0,682
13,0,14,144,0,682
14,0,25,144,0,682
15,0,47,144,0,682
16,0,21,144,0,682
17,0,45,144,0,682
18,0,31,144,0,682
19,0,27,144,0,682
0,0,29,140,0,325
1,0,77,140,0,325
2,0,40,140,0,325
3,0,10,140,0,325
4,0,39,140,0,325
5,0,50,140,0,325
6,0,54,140,0,325
7,0,44,140,0,325
8,0,56,140,0,325
9,0,57,140,0,325
10,0,46,140,0,325
11,0,66,140,0,325
12,0,20,140,0,325
13,0,26,140,0,325
14,0,60,140,0,325
15,0,29,140,0,325
16,0,22,140,0,325
17,0,23,140,0,325
18,0,42,140,0,325
19,0,79,140,0,325
0,0,19,90,0,292
1,0,18,90,0,292
2,0,33,90,0,292
3,0,21,90,0,292
4,0,13,90,0,292
5,0,3,90,0,292
6,0,40,90,0,292
7,0,5,90,0,292
8,0,24,90,0,292
9,0,4,90,0,292
10,0,11,90,0,292
11,0,34,90,0,292
12,0,3,90,0,292
13,0,41,90,0,292
14,0,15,90,0,292
15,0,2,90,0,292
16,0,11,90,0,292
17,0,39,90,0,292
18,0,45,90,0,292
19,0,96,90,0,292
0,0,1,148,0,357
1,0,5,148,0,357
2,0,40,148,0,357
3,0,2,148,0,357
4,0,1,148,0,357
5,0,17,148,0,357
6,0,83,148,0,357
7,0,60,148,0,357
8,0,57,148,0,357
9,0,7,148,0,357
10,0,61,148,0,357
11,0,65,148,0,357
12,0,21,148,0,357
13,0,14,148,0,357
14,0,85,148,0,357
15,0,15,148,0,357
16,0,11,148,0,357
17,0,26,148,0,357
18,0,131,148,0,357
19,0,35,148,0,357
0,0,42,146,0,162
1,0,10,146,0,162
2,0,49,146,0,162
3,0,81,146,0,162
4,0,16,146,0,162
5,0,102,146,0,162
6,0,1,146,0,162
7,0,44,146,0,162
8,0,53,146,0,162
9,0,60,146,0,162
10,0,41,146,0,162
11,0,4,146,0,162
12,0,20,146,0,162
13,0,25,146,0,162
14,0,39,146,0,162
15,0,15,146,0,162
16,0,15,146,0,162
17,0,45,146,0,162
18,0,19,146,0,162
19,0,33,146,0,162
0,0,14,156,0,130
1,0,78,156,0,130
2,0,76,156,0,130
3,0,44,156,0,130
4,0,57,156,0,130
5,0,4,156,0,130
6,0,17,156,0,130
7,0,6,156,0,130
8,0,88,156,0,130
9,0,55,156,0,130
10,0,74,156,0,130
11,0,47,156,0,130
12,0,21,156,0,130
13,0,54,156,0,130
14,0,7,156,0,130
15,0,35,156,0,130
16,0,133,156,0,130
17,0,47,156,0,130
18,0,27,156,0,130
19,0,5,156,0,130
0,0,11,90,0,162
1,0,9,90,0,162
2,0,48,90,0,162
3,0,14,90,0,162
4,0,4,90,0,162
5,0,35,90,0,162
6,0,18,90,0,162
7,0,72,90,0,162
8,0,85,90,0,162
9,0,21,90,0,162
10,0,7,90,0,162
11,0,16,90,0,162
12,0,76,90,0,162
13,0,62,90,0,162
14,0,49,90,0,162
15,0,2,90,0,162
16,0,30,90,0,162
17,0,4,90,0,162
18,0,1,90,0,162
19,0,20,90,0,162
0,0,38,148,0,650
1,0,15,148,0,650
2,0,10,148,0,650
3,0,31,148,0,650
4,0,43,148,0,650
5,0,8,148,0,650
6,0,27,148,0,650
7,0,46,148,0,650
8,0,31,148,0,650
9,0,1,148,0,650
10,0,4,148,0,650
11,0,4,148,0,650
12,0,10,148,0,650
13,0,24,148,0,650
14,0,6,148,0,650
15,0,36,148,0,650
16,0,16,148,0,650
17,0,19,148,0,650
18,0,103,148,0,650
19,0,51,148,0,650
0,0,87,144,0,1495
1,0,142,144,0,1495
2,0,94,144,0,1495
3,0,2,144,0,1495
4,0,5,144,0,1495
5,0,3,144,0,1495
6,0,141,144,0,1495
7,0,2,144,0,1495
8,0,123,144,0,1495
9,0,25,144,0,1495
10,0,91,144,0,1495
11,0,11,144,0,1495
12,0,68,144,0,1495
13,0,53,144,0,1495
14,0,31,144,0,1495
15,0,112,144,0,1495
16,0,26,144,0,1495
17,0,3,144,0,1495
18,0,64,144,0,1495
19,0,18,144,0,1495
0,0,14,140,0,65
1,0,21,140,0,65
2,0,8,140,0,65
3,0,30,140,0,65
4,0,78,140,0,65
5,0,80,140,0,65
6,0,36,140,0,65
7,0,82,140,0,65
8,0,12,140,0,65
9,0,86,140,0,65
10,0,20,140,0,65
11,0,46,140,0,65
12,0,32,140,0,65
13,0,33,140,0,65
14,0,55,140,0,65
15,0,3,140,0,65
16,0,56,140,0,65
17,0,59,140,0,65
18,0,23,140,0,65
19,0,42,140,0,65
0,0,79,146,0,162
1,0,21,146,0,162
2,0,19,146,0,162
3,0,19,146,0,162
4,0,15,146,0,162
5,0,73,146,0,162
6,0,2,146,0,162
7,0,10,146,0,162
8,0,14,146,0,162
9,0,87,146,0,162
10,0,51,146,0,162
11,0,42,146,0,162
12,0,20,146,0,162
13,0,33,146,0,162
14,0,47,146,0,162
15,0,59,146,0,162
16,0,29,146,0,162
17,0,55,146,0,162
18,0,54,146,0,162
19,0,23,146,0,162
0,0,66,156,0,747
1,0,8,156,0,747
2,0,38,156,0,747
3,0,56,156,0,747
4,0,8,156,0,747
5,0,1,156,0,747
6,0,47,156,0,747
7,0,15,156,0,747
8,0,26,156,0,747
9,0,6,156,0,747
10,0,41,156,0,747
11,0,36,156,0,747
12,0,13,156,0,747
13,0,39,156,0,747
14,0,28,156,0,747
15,0,1,156,0,747
16,0,15,156,0,747
17,0,24,156,0,747
18,0,65,156,0,747
19,0,36,156,0,747
0,0,57,90,0,162
1,0,12,90,0,162
2,0,4,90,0,162
3,0,2,90,0,162
4,0,3,90,0,162
5,0,1,90,0,162
6,0,63,90,0,162
7,0,1,90,0,162
8,0,45,90,0,162
9,0,27,90,0,162
10,0,15,90,0,162
11,0,4,90,0,162
12,0,7,90,0,162
13,0,105,90,0,162
14,0,53,90,0,162
15,0,8,90,0,162
16,0,36,90,0,162
17,0,151,90,0,162
18,0,76,90,0,162
19,0,55,90,0,162
0,0,24,148,0,650
1,0,56,148,0,650
2,0,66,148,0,650
3,0,63,148,0,650
4,0,1,148,0,650
5,0,31,148,0,650
6,0,69,148,0,650
7,0,76,148,0,650
8,0,28,148,0,650
9,0,8,148,0,650
10,0,35,148,0,650
11,0,2,148,0,650
12,0,56,148,0,650
13,0,9,148,0,650
14,0,30,148,0,650
15,0,28,148,0,650
16,0,51,148,0,650
17,0,53,148,0,650
18,0,10,148,0,650
19,0,33,148,0,650
0,0,6,144,0,1495
1,0,10,144,0,1495
2,0,105,144,0,1495
3,0,108,144,0,1495
4,0,37,144,0,1495
5,0,6,144,0,1495
6,0,69,144,0,1495
7,0,33,144,0,1495
8,0,2,144,0,1495
9,0,33,144,0,1495
10,0,51,144,0,1495
11,0,29,144,0,1495
12,0,7,144,0,1495
13,0,56,144,0,1495
14,0,37,144,0,1495
