,sample_n,run_id,v_type
2,1,50,identity
3,1,50,identity
4,1,50,identity
5,1,50,identity
0,1,50,number
1,1,50,number
2,1,50,number
3,1,50,number
4,1,50,number
5,1,50,number
0,1,50,pose
1,1,50,pose
2,1,50,pose
3,1,50,pose
4,1,50,pose
5,1,50,pose
0,1,50,animacy
1,1,50,animacy
2,1,50,animacy
3,1,50,animacy
4,1,50,animacy
5,1,50,animacy
0,25,51,background
1,1,51,background
2,1,51,background
3,2,51,background
4,1,51,background
5,1,51,background
0,24,51,identity
1,1,51,identity
2,1,51,identity
3,1,51,identity
4,1,51,identity
5,1,51,identity
0,3,51,number
1,21,51,number
2,1,51,number
3,1,51,number
4,1,51,number
5,1,51,number
0,22,51,pose
1,1,51,pose
2,2,51,pose
3,1,51,pose
4,1,51,pose
5,1,51,pose
0,26,51,animacy
1,1,51,animacy
2,1,51,animacy
3,1,51,animacy
4,1,51,animacy
5,1,51,animacy
0,39,52,background
1,24,52,background
2,3,52,background
3,2,52,background
4,1,52,background
5,2,52,background
0,41,52,identity
1,8,52,identity
2,22,52,identity
3,2,52,identity
4,1,52,identity
5,1,52,identity
0,56,52,number
1,2,52,number
2,4,52,number
3,4,52,number
4,1,52,number
5,2,52,number
0,48,52,pose
1,13,52,pose
2,2,52,pose
3,1,52,pose
4,8,52,pose
5,1,52,pose
0,35,52,animacy
1,12,52,animacy
