param_id,r2,rmse,r2_lb,r2_ub,rmse_lb,rmse_ub
70,0.3335888698179964,4.012331060629656,0.2317868658896448,0.4419386513840431,2.8172091472140184,6.122011706299402
71,0.3470546483603103,3.89860979493618,0.2445473023775851,0.4446096695027863,2.8529653116644775,5.860438488187505
72,0.33485791264841874,4.024837952745916,0.22771805337678863,0.4615444591935305,2.893146619720301,5.8070787848928145
73,0.28321756345067783,4.064024378709841,0.185465040344862,0.38430502761756724,3.0178388506140283,5.4038299719110015
74,0.35557207002681934,3.755991812893469,0.260112750316234,0.4426527804151097,2.8528247515522724,5.216205301500181
75,0.35411427632976517,3.860661578337912,0.25579919321711525,0.45764472477105045,2.8257933243126407,5.365299269261763
76,0.3051140906341446,3.9805261372011946,0.21546793483986437,0.38832979885549607,2.9215098273797633,5.744880008120787
77,0.3590232920052421,3.7960511152295062,0.2467143067245296,0.4642584124000093,2.798378590922325,5.24594674699074
78,0.22979576142263397,4.3818027146619345,0.15425048110107242,0.3067908533687775,3.188891776597681,5.929705299348273
79,0.21816485645037664,4.32051357494508,0.14522846969601477,0.3124912462472579,3.2345400878926522,6.1803823775546185
80,0.35265369572811567,3.7823171827671085,0.22909021883290304,0.46358170271339105,2.784564194271345,5.626106635068487
81,0.3720860339283121,3.7875251343444796,0.266234311687676,0.48243345505437873,2.8803296164087757,5.3174555119050035
82,0.332867940302357,3.9277587472842797,0.22321315772108272,0.4289387703666048,2.8977242905396317,5.224867922485798
83,0.39981295524914445,3.7314215003165927,0.29107666614638716,0.5147337248564079,2.7304881748330745,5.873606208094813
84,0.2992719860804185,4.019987180316395,0.21394827840923236,0.41704686540872815,2.8830630148663405,5.856324217203801
85,0.32120237682902886,3.9898421162603515,0.21373460754836598,0.4240747901148342,2.9016139967113195,5.746314138740463
86,0.36838657455043666,3.9188505618491445,0.23338633455187044,0.4831086217798099,2.8410166118615527,6.033304338186343
87,0.32164329562116334,4.005074969206941,0.23941656545307788,0.4138448653194106,2.9836960656495792,5.6201244256766945
88,0.31977631545099705,3.8890964207955814,0.20985306797356928,0.4161049991773467,2.8675936809845313,5.4223377987517445
89,0.3631251642978547,3.8238986214695765,0.250076230322515,0.46829062399463295,2.788282780832164,6.072684951941403
90,0.3020591516984128,4.091322320014189,0.20222831431275712,0.39884924810176214,2.9311136075157647,5.861249453413049
91,0.1900073997128287,4.316653431564256,0.11783023183274022,0.2638334709374895,3.2763647751944505,6.073890167737781
92,0.3206173620317492,3.9606417050521703,0.21908472584448418,0.4127055240083836,2.9716538404880986,5.643427033292736
93,0.27173572599420825,4.012864969304251,0.18708981843791295,0.3640134818611354,3.0259005043238303,5.5769167347256925
94,0.315023005065557,3.9801435350016208,0.19628508415375046,0.4174998784575684,2.816287506678167,5.515949031272054
95,0.34875066255456494,3.889413941626742,0.23662097149569045,0.46925594537294024,2.7463245838161843,6.087592999641208
96,0.2584372978741071,4.197713870838276,0.1715644625941224,0.35740147772062647,3.0085782502354386,5.839085696663643
97,0.2847662818409039,4.120115928332772,0.20209705586772908,0.371467973927483,3.0048720781024647,6.172319791794738
98,0.3024155676766245,3.9787723688373466,0.20779013857889544,0.40584416690301983,2.9501610452905953,5.5875517643854815
99,0.373642004888764,3.876615796722575,0.2465444636586272,0.4958371942856849,2.6178696071996086,5.56473012258512
100,0.34892283413816266,4.109862610422186,0.24322981910371397,0.4688605018497291,2.987119799774186,5.769181549267292
101,0.3230316418236996,3.916474367935654,0.22121956687782013,0.4254243458515427,2.802948622650068,5.4324641331866115
102,0.27110698151920987,4.074500703190985,0.18405027099529303,0.3538736535783075,3.0104580435988266,5.66817842492124
103,0.3009954147744998,4.025425385459394,0.19739639713449697,0.4082471917617487,2.977700129228097,5.45950526673465
104,0.3435811743599774,4.048566441589527,0.24538730329690478,0.4386727575091739,2.737956609512016,6.203266624603797
