trial_id,stim_id,param_id,sample_n_mean,sample_n_std
15,2,122,19.8,28.737651810454995
7,4,124,33.5,24.911422026219643
18,33,108,24.85,29.196746394076172
0,34,128,39.9,19.477112073837898
16,25,120,22.9,43.605769777573435
16,28,12,26.7,26.74656888964304
11,7,107,67.75,55.04053530186447
9,10,109,52.8,55.49262634753709
0,44,127,63.7,51.24769571199738
12,45,105,41.35,37.29297238721639
4,37,126,24.05,28.470621977566168
3,8,125,91.25,58.65768222671713
0,34,128,33.4,20.85135360997988
15,2,122,20.35,29.11732166688124
11,2,1,67.0,75.7794584025874
7,20,123,60.35,55.041874011854304
7,4,124,40.05,27.019437447881852
8,26,121,62.1,60.42646683976188
18,33,108,22.75,27.621263738763215
16,25,120,21.9,27.330145299746636
16,28,12,21.75,24.29181148583114
0,34,128,39.75,17.841037850387163
4,37,126,41.55,56.47680008081567
7,4,124,29.55,30.08317417462879
15,2,122,23.25,24.954432155641737
3,8,125,55.75,51.68413683133346
18,33,108,10.85,15.681954094134007
9,10,109,59.95,67.06200979611882
11,7,107,65.0,51.79819139293328
0,44,127,73.3,69.59892618651374
0,34,128,40.35,22.252794029183462
16,25,120,23.3,25.984003176043363
12,45,105,64.8,53.950854829577125
7,20,123,57.95,41.45698468228688
16,28,12,38.1,28.40292794395454
4,37,126,35.35,41.701034948661324
7,4,124,34.75,29.761994486080294
15,2,122,19.9,26.026100259870706
0,34,128,39.1,18.390214789392754
18,33,108,15.55,21.39226372706781
8,26,121,67.05,70.84785403279787
4,38,126,20.15,24.41370408947444
16,25,120,16.4,34.23202563313145
11,2,1,76.25,84.17455234901992
16,29,12,13.6,20.45122567424621
3,9,125,62.65,56.370274921600675
7,4,124,30.9,27.418587625339512
15,2,122,23.9,22.83326290167137
11,7,107,63.0,47.42750700861929
9,11,109,59.7,68.83244339087415
4,38,126,30.6,20.23129415430201
0,34,128,45.7,28.875595231960155
12,45,105,60.95,42.652173388197255
16,25,120,9.95,13.911279028562623
18,33,108,18.45,32.64236027327874
0,44,127,74.65,74.00872992602397
16,29,12,17.05,24.850023827162143
7,20,123,79.3,47.985853178443726
7,4,124,31.45,27.654779733443245
4,38,126,25.65,27.667718221402847
0,34,128,37.4,21.89544533266655
15,2,122,27.15,32.3879038498862
16,25,120,13.5,18.1122232643855
11,2,1,48.5,59.897719840618834
18,33,108,20.45,30.569119264898347
7,4,124,30.5,22.165644350518757
4,38,126,30.0,23.065125189341593
8,26,121,75.15,75.84698932372783
16,29,12,22.3,25.300509668259334
0,34,128,39.45,23.80949611527211
11,7,107,51.85,56.20289840812201
12,45,105,49.0,40.04339751083225
9,11,109,58.6,74.79895861926364
0,44,127,68.25,55.48624770346727
3,9,125,79.15,81.76041700892728
7,20,123,56.6,40.41547384747319
16,25,120,17.55,22.602922493853704
15,2,122,24.5,29.879582890064082
0,34,128,33.65,26.41824529014988
18,33,108,10.0,12.818572052833506
7,4,124,34.15,25.363203765754
11,2,1,43.7,47.51631298827803
4,38,126,39.9,32.528368185971225
