"","subject_num","experiment","fam_or_test","unique_id","animal","block_num","test_type","fam_duration","LT","exclude","age","sex"
"104",12,"A","test","A_12",8,4,"fam","4",7.464,FALSE,322,"F"
"105",12,"A","fam","A_12",9,6,"nov","4",17.571,FALSE,322,"F"
"106",12,"A","test","A_12",10,6,"nov","4",18.927,FALSE,322,"F"
"107",12,"A","fam","A_12",11,3,"nov","8",21.264,FALSE,322,"F"
"108",12,"A","test","A_12",12,3,"nov","8",0.298,TRUE,322,"F"
"109",12,"A","fam","A_12",4,5,"fam","8",20.327,FALSE,322,"F"
"110",12,"A","test","A_12",4,5,"fam","8",22.457,FALSE,322,"F"
"111",13,"A","test","A_13",12,5,"fam","0",7.358,FALSE,236,"F"
"112",13,"A","test","A_13",7,6,"fam","0",2.241,FALSE,236,"F"
"113",13,"A","fam","A_13",6,1,"nov","4",19.999,FALSE,236,"F"
"114",13,"A","test","A_13",5,1,"nov","4",4.513,FALSE,236,"F"
"115",13,"A","fam","A_13",3,3,"fam","4",10.41,FALSE,236,"F"
"116",13,"A","test","A_13",3,3,"fam","4",2.882,FALSE,236,"F"
"117",13,"A","fam","A_13",1,2,"fam","8",13.059,FALSE,236,"F"
"118",13,"A","test","A_13",1,2,"fam","8",3.457,FALSE,236,"F"
"119",13,"A","fam","A_13",10,4,"nov","8",21.925,FALSE,236,"F"
"120",13,"A","test","A_13",9,4,"nov","8",3.481,FALSE,236,"F"
"121",14,"A","test","A_14",10,4,"fam","0",17.305,FALSE,296,"M"
"122",14,"A","test","A_14",1,6,"fam","0",7.356,FALSE,296,"M"
"123",14,"A","fam","A_14",5,3,"nov","4",16.071,FALSE,296,"M"
"124",14,"A","test","A_14",6,3,"nov","4",6.789,FALSE,296,"M"
"125",14,"A","fam","A_14",8,5,"fam","4",15.818,FALSE,296,"M"
"126",14,"A","test","A_14",8,5,"fam","4",1.723,TRUE,296,"M"
"127",14,"A","fam","A_14",12,1,"fam","8",39.999,FALSE,296,"M"
"128",14,"A","test","A_14",12,1,"fam","8",7.992,FALSE,296,"M"
"129",14,"A","fam","A_14",3,2,"nov","8",37.565,FALSE,296,"M"
"130",14,"A","test","A_14",4,2,"nov","8",24.29,FALSE,296,"M"
"131",15,"A","test","A_15",7,5,"fam","0",54.091,FALSE,323,"M"
"132",15,"A","test","A_15",4,6,"fam","0",8.759,FALSE,323,"M"
"133",15,"A","fam","A_15",1,1,"nov","4",0.0409999999999968,TRUE,323,"M"
"134",15,"A","test","A_15",2,1,"nov","4",10.154,FALSE,323,"M"
"135",15,"A","fam","A_15",9,3,"fam","4",7.924,FALSE,323,"M"
"136",15,"A","test","A_15",9,3,"fam","4",13.112,FALSE,323,"M"
"137",15,"A","fam","A_15",6,2,"fam","8",20.914,FALSE,323,"M"
"138",15,"A","test","A_15",6,2,"fam","8",4.595,FALSE,323,"M"
"139",15,"A","fam","A_15",12,4,"nov","8",19.237,TRUE,323,"M"
"140",15,"A","test","A_15",11,4,"nov","8",3.731,TRUE,323,"M"
"141",16,"A","test","A_16",3,3,"fam","0",56.448,FALSE,254,"F"
"142",16,"A","test","A_16",6,5,"fam","0",26.836,FALSE,254,"F"
"143",16,"A","fam","A_16",11,1,"fam","4",19.4,FALSE,254,"F"
"144",16,"A","test","A_16",11,1,"fam","4",33.921,FALSE,254,"F"
"145",16,"A","fam","A_16",10,2,"nov","4",18.555,FALSE,254,"F"
"146",16,"A","test","A_16",9,2,"nov","4",2.643,FALSE,254,"F"
"147",16,"A","fam","A_16",8,4,"fam","8",6.789,FALSE,254,"F"
"148",16,"A","test","A_16",8,4,"fam","8",27.045,FALSE,254,"F"
"149",16,"A","fam","A_16",1,6,"nov","8",39.721,FALSE,254,"F"
"150",16,"A","test","A_16",2,6,"nov","8",31.109,FALSE,254,"F"
"151",17,"A","test","A_17",10,1,"fam","0",44.785,FALSE,334,"F"
"152",17,"A","test","A_17",6,2,"fam","0",20.521,FALSE,334,"F"
"153",17,"A","fam","A_17",4,4,"fam","4",16.696,FALSE,334,"F"
"154",17,"A","test","A_17",4,4,"fam","4",20.943,FALSE,334,"F"
"155",17,"A","fam","A_17",7,6,"nov","4",18.043,FALSE,334,"F"
"156",17,"A","test","A_17",8,6,"nov","4",22.696,FALSE,334,"F"
"157",17,"A","fam","A_17",1,3,"nov","8",26.374,FALSE,334,"F"
"158",17,"A","test","A_17",2,3,"nov","8",13.905,FALSE,334,"F"
"159",17,"A","fam","A_17",11,5,"fam","8",1.766,TRUE,334,"F"
"160",17,"A","test","A_17",11,5,"fam","8",7.012,FALSE,334,"F"
"161",18,"A","test","A_18",4,4,"fam","0",41.359,FALSE,274,"M"
"162",18,"A","test","A_18",12,6,"fam","0",11.453,FALSE,274,"M"
"163",18,"A","fam","A_18",5,3,"nov","4",18.644,FALSE,274,"M"
"164",18,"A","test","A_18",6,3,"nov","4",23.686,FALSE,274,"M"
"165",18,"A","fam","A_18",7,5,"fam","4",17.757,FALSE,274,"M"
"166",18,"A","test","A_18",7,5,"fam","4",47.207,FALSE,274,"M"
"167",18,"A","fam","A_18",10,1,"fam","8",36.525,FALSE,274,"M"
"168",18,"A","test","A_18",10,1,"fam","8",20.854,FALSE,274,"M"
"169",18,"A","fam","A_18",1,2,"nov","8",9.736,FALSE,274,"M"
"170",18,"A","test","A_18",2,2,"nov","8",15.733,FALSE,274,"M"
"171",19,"A","test","A_19",8,4,"fam","0",19.143,TRUE,336,"F"
"172",19,"A","test","A_19",5,6,"fam","0",11.771,FALSE,336,"F"
"173",19,"A","fam","A_19",10,3,"nov","4",18.831,FALSE,336,"F"
"174",19,"A","test","A_19",9,3,"nov","4",14.076,FALSE,336,"F"
"175",19,"A","fam","A_19",1,5,"fam","4",19.999,TRUE,336,"F"
"176",19,"A","test","A_19",1,5,"fam","4",11.338,TRUE,336,"F"
"177",19,"A","fam","A_19",4,1,"fam","8",33.342,FALSE,336,"F"
"178",19,"A","test","A_19",4,1,"fam","8",11.115,FALSE,336,"F"
"179",19,"A","fam","A_19",11,2,"nov","8",0.123000000000005,TRUE,336,"F"
"180",19,"A","test","A_19",12,2,"nov","8",10.262,FALSE,336,"F"
"181",20,"A","test","A_20",3,3,"fam","0",14.035,FALSE,310,"M"
"182",20,"A","test","A_20",10,5,"fam","0",18.931,FALSE,310,"M"
"183",20,"A","fam","A_20",7,1,"fam","4",19.999,FALSE,310,"M"
"184",20,"A","test","A_20",7,1,"fam","4",27.884,FALSE,310,"M"
"185",20,"A","fam","A_20",6,2,"nov","4",19.64,FALSE,310,"M"
"186",20,"A","test","A_20",5,2,"nov","4",27.692,FALSE,310,"M"
"187",20,"A","fam","A_20",11,4,"fam","8",34.606,FALSE,310,"M"
"188",20,"A","test","A_20",11,4,"fam","8",10.981,FALSE,310,"M"
"189",20,"A","fam","A_20",2,6,"nov","8",34.014,FALSE,310,"M"
"190",20,"A","test","A_20",1,6,"nov","8",7.996,FALSE,310,"M"
"191",21,"A","test","A_21",2,1,"fam","0",12.809,FALSE,308,"F"
"192",21,"A","test","A_21",6,2,"fam","0",23.978,TRUE,308,"F"
"193",21,"A","fam","A_21",11,4,"fam","4",8.138,FALSE,308,"F"
"194",21,"A","test","A_21",11,4,"fam","4",13.789,FALSE,308,"F"
"195",21,"A","fam","A_21",3,6,"nov","4",9.67999999999999,FALSE,308,"F"
"196",21,"A","test","A_21",4,6,"nov","4",16.152,FALSE,308,"F"
"197",21,"A","fam","A_21",7,3,"nov","8",29.07,FALSE,308,"F"
"198",21,"A","test","A_21",8,3,"nov","8",17.309,FALSE,308,"F"
"199",21,"A","fam","A_21",10,5,"fam","8",26.987,FALSE,308,"F"
"200",21,"A","test","A_21",10,5,"fam","8",2.851,FALSE,308,"F"
"201",22,"A","test","A_22",9,1,"fam","0",24.193,FALSE,213,"F"
"202",22,"A","test","A_22",1,2,"fam","0",40.942,FALSE,213,"F"
"203",22,"A","fam","A_22",8,4,"fam","4",18.52,FALSE,213,"F"
"204",22,"A","test","A_22",8,4,"fam","4",45.985,FALSE,213,"F"
"205",22,"A","fam","A_22",12,6,"nov","4",16.13,FALSE,213,"F"
"206",22,"A","test","A_22",11,6,"nov","4",17.933,FALSE,213,"F"
"207",22,"A","fam","A_22",4,3,"nov","8",37.733,FALSE,213,"F"
"208",22,"A","test","A_22",3,3,"nov","8",51.623,FALSE,213,"F"
"209",22,"A","fam","A_22",5,5,"fam","8",39.361,TRUE,213,"F"
"210",22,"A","test","A_22",5,5,"fam","8",35.725,TRUE,213,"F"
"211",23,"A","test","A_23",5,1,"fam","0",18.638,FALSE,218,"M"
"212",23,"A","test","A_23",11,3,"fam","0",25.668,FALSE,218,"M"
"213",23,"A","fam","A_23",8,2,"fam","4",19.444,FALSE,218,"M"
"214",23,"A","test","A_23",8,2,"fam","4",12.077,FALSE,218,"M"
"215",23,"A","fam","A_23",10,4,"nov","4",17.325,FALSE,218,"M"
"216",23,"A","test","A_23",9,4,"nov","4",5.46199999999999,FALSE,218,"M"
"217",23,"A","fam","A_23",3,5,"nov","8",9.05199999999999,FALSE,218,"M"
"218",23,"A","test","A_23",4,5,"nov","8",3.131,FALSE,218,"M"
"219",23,"A","fam","A_23",2,6,"fam","8",5.9,FALSE,218,"M"
"220",23,"A","test","A_23",2,6,"fam","8",5.292,FALSE,218,"M"
"221",24,"A","test","A_24",1,5,"fam","0",12.022,FALSE,222,"M"
"222",24,"A","test","A_24",10,6,"fam","0",10.761,FALSE,222,"M"
"223",24,"A","fam","A_24",5,1,"nov","4",18.641,FALSE,222,"M"
