p_i,p_a,rsquared,rmse
2,130,0.38770216259194396,4.459127336458216
2,131,0.07691080203832308,5.6973362706715225
2,132,0.5163074631875499,3.9978273051119158
2,133,0.10594060622640149,5.533711833119173
2,134,0.42386524499505346,4.325647969682874
2,135,0.08276672652888645,5.669506107261779
2,136,0.4175157980222032,4.349153048122405
2,137,0.0797307606322456,5.690484823578748
2,138,0.5620774264404663,3.8037795459462798
2,139,0.13270661841896014,5.435653496591046
2,140,0.45893058156499006,4.19158848339068
2,141,0.10239439034310516,5.598248137755971
2,142,0.4506557328591316,4.223403830448847
2,143,0.10126422213632252,5.602512368880238
2,144,0.5851291458139369,3.762926309108912
2,145,0.13811107292339608,5.362585093244117
2,146,0.4596818821237294,4.196534915382355
2,147,0.10256600030688015,5.547772250886693
2,148,0.4555542036155688,4.211262093938539
2,149,0.1023173573960426,5.550146729116132
2,150,0.5579209045180756,3.8449680055084983
2,151,0.12111986568543566,5.450752228504169
2,152,0.42878245495986267,4.307738179844305
2,153,0.09123926929995614,5.622855441620235
2,154,0.424162805998136,4.325311258927132
2,155,0.08963037672186096,5.626133297338695
2,156,0.533730104095411,3.9201048305386217
2,157,0.11237686101405153,5.5149185048661815
2,158,0.4421463569060746,4.256283866078398
2,159,0.08987700661623353,5.645652984014558
2,160,0.4281009267033725,4.309226360704309
2,161,0.08722579843035522,5.6606674008759725
3,0,0.8541152214085441,2.224416992538687
3,1,0.49827600498619495,4.041700798488467
3,2,0.8063647966953909,2.5342299709382576
3,3,0.46126987313644335,4.183246462469901
3,4,0.797446167633632,2.5896683664757245
3,5,0.45251495826777327,4.21716311336542
3,6,0.8638269220612889,2.146562688429511
3,7,0.5349781188966607,3.9005384688618547
3,8,0.819967308823709,2.442050279422832
3,9,0.4810560698162377,4.1072445562542335
3,10,0.8179176853904864,2.4538562895584795
3,11,0.47845892418635927,4.1176255066747816
3,12,0.8838368788881158,1.9603192410752004
3,13,0.5690949132723354,3.753902612495366
3,14,0.8383738016953427,2.2996984490913777
3,15,0.5186691899752538,3.955048314906389
3,16,0.8361632000950173,2.3162530718449776
3,17,0.5329704907382053,3.897087987684303
3,18,0.8425043561765048,2.3060291434517843
3,19,0.49686053725343937,4.048083172678579
3,20,0.7995567793792269,2.5747482016064405
3,21,0.45955532679073763,4.189691789648768
3,22,0.793597648153195,2.6135625209028195
3,23,0.4540986513363214,4.210394153847212
3,24,0.8584398970809555,2.184937999486386
3,25,0.5209356658511306,3.9554023523813684
3,26,0.8181869467883824,2.4545228386386744
3,27,0.4749606807407989,4.130628229298386
3,28,0.8117592914399427,2.494552454868615
3,29,0.4729865166061776,4.138447227691744
3,30,0.8811270412068705,1.9826339982962213
3,31,0.5663739648038196,3.764346453048438
3,32,0.8380204030372769,2.3031913654373812
3,33,0.5197562057912959,3.951759874074787
3,34,0.8339168763770989,2.3317416702224834
3,35,0.514742147379725,3.9715483860268295
3,36,0.8788443132210081,2.0270310358413
3,37,0.5765142867731246,3.7374216718254076
3,38,0.8280095335842826,2.388041456738873
3,39,0.5208588836197185,3.9540647713225825
3,40,0.8284512969355793,2.3852835417336062
3,41,0.5178455541740904,3.9643496084057124
3,42,0.860761193876774,2.1652670822457902
3,43,0.5341609218059699,3.9005366649336852
3,44,0.8119100353204107,2.4920445186114617
3,45,0.48847250576861717,4.0770983824427205
3,46,0.8066193770364192,2.526296209956684
3,47,0.48973273657650246,4.072949009986575
3,48,0.8649178177719556,2.120762378584048
3,49,0.5427282373443558,3.864819721366662
3,50,0.8208074014659839,2.426750775897
3,51,0.49407777990616275,4.054371549025162
3,52,0.8200568112216725,2.430889327207624
3,53,0.4909589361225627,4.066356262877042
3,54,0.8564632422988581,2.202267128769046
3,55,0.5175946796912964,3.968614456590665
3,56,0.8164062314279167,2.465005424746568
3,57,0.4730552553762443,4.1381529002254664
3,58,0.8155868944266881,2.4711958548334447
3,59,0.47124812904804,4.1449260866640145
3,60,0.8708958828371967,2.0859395133049716
3,61,0.5437733752664551,3.866807703239708
3,62,0.8226142393665319,2.4194967603861532
3,63,0.4959994005262158,4.049072212165322
3,64,0.820146038672123,2.43637918584566
3,65,0.4873961042348759,4.082081958048644
3,66,0.8828125833580863,1.964030166694163
3,67,0.578491566942185,3.7111044940080276
3,68,0.836901012193698,2.308548032192708
3,69,0.5180630971556968,3.9572229441856215
3,70,0.8378219084620415,2.3015628249368336
3,71,0.5108638520122857,3.9859392492594603
3,72,0.8601241257438477,2.1811283334714666
3,73,0.5128204403554747,3.9867340031757177
3,74,0.807598139679051,2.5241238703784337
3,75,0.4732811228119582,4.137163511596438
3,76,0.8089900619378418,2.5146506357008027
3,77,0.4691882337172127,4.153152642453509
3,78,0.8687061958171437,2.1090602428071588
3,79,0.5301595786790474,3.920095260172533
3,80,0.8229984509169472,2.4179000062536264
3,81,0.48760135753169737,4.08112262340164
3,82,0.8172016713858764,2.457978427312915
3,83,0.47449175140241084,4.132191508855621
3,84,0.8833213919503398,1.9615697883634968
3,85,0.581867668466535,3.6982486763238507
3,86,0.8346498116483553,2.3258059715357247
3,87,0.532575226009951,3.8984902006838973
3,88,0.8357599851368983,2.3180048245364566
3,89,0.5197292078579773,3.95096159354422
3,90,0.8914772103515426,1.9311368362903265
3,91,0.6004485019624715,3.644034682942627
3,92,0.8356487851512648,2.3393633107419993
3,93,0.5374057859867756,3.892154097414619
3,94,0.8350747593786004,2.3433667428043368
3,95,0.5341967451047317,3.903373673652097
3,96,0.8792592909302331,2.0264814904871957
3,97,0.5566360782533275,3.815358495265561
3,98,0.8271371856506711,2.3925665948065205
3,99,0.5037812313582755,4.018620761189576
3,100,0.8228139767457345,2.4214872564261856
3,101,0.49811747359609515,4.040083741632213
3,102,0.8718277492895763,2.0651887039665886
3,103,0.5538943691495793,3.81960110728483
3,104,0.8281482045392369,2.3759142987533677
3,105,0.4951829571211793,4.050096730708067
3,106,0.826153805614012,2.3892494855017423
3,107,0.5030380590548846,4.019026160012611
3,108,0.86431833537500935,2.144012609587066
3,109,0.5339037303373184,3.9030260661215834
3,110,0.816813309694401,2.4598716572923776
3,111,0.48662986777181644,4.08501377554937
3,112,0.8170711570473733,2.4600128759589937
3,113,0.4867530704992441,4.085055408816258
3,114,0.8747854876720257,2.051496008143546
3,115,0.5518818406970276,3.8308467518479605
3,116,0.827321522112871,2.385461657143848
3,117,0.5120067224546867,3.9850737230037296
3,118,0.8278901036745533,2.383689220114868
3,119,0.4990352583344587,4.035819780931906
